,principal_component1,principal_component2
1653675594,-0.6451853479271643,0.47552448312720186
1653675594,-0.4456828094268826,0.9784447200823139
1653675594,-0.4456828094268826,0.9784447200823139
1653675594,-0.4456828094268826,0.9784447200823139
1653675595,-0.4456828094268826,0.9784447200823139
1653675595,-0.4456828094268826,0.9784447200823139
1653675595,-0.4448783637071234,0.9804726242635846
1653675595,-0.4448783637071234,0.9804726242635846
1653675596,-0.11360693994925475,0.8655420277842895
1653675596,2.16833842400902,-0.027620393544900416
1653675596,2.16833842400902,-0.027620393544900416
1653675596,2.16833842400902,-0.027620393544900416
1653675597,2.1703188652317364,-0.030688988728493977
1653675597,2.1709102832741,-0.03099174488112921
1653675597,2.1709102832741,-0.03099174488112921
1653675597,2.171788676386171,-0.029002412868540484
1653675598,2.1719066410511676,-0.02904419840402418
1653675598,2.1719066410511676,-0.02904419840402418
1653675598,2.1719066410511676,-0.02904419840402418
1653675598,2.171852786263114,-0.029024084252067907
1653675599,2.1709205383629904,-0.030993302112700537
1653675599,2.1709205383629904,-0.030993302112700537
1653675599,2.1714950815238745,-0.028861817892159726
1653675599,2.170682602426499,-0.028568490600831158
1653675599,2.170682602426499,-0.028568490600831158
1653675600,2.170682602426499,-0.028568490600831158
1653675600,2.1693823946982445,-0.030373884869983957
1653675600,2.1693823946982445,-0.030373884869983957
1653675600,2.1693823946982445,-0.030373884869983957
1653675601,2.1688092708067925,-0.030131161902250694
1653675601,2.1687451609298485,-0.03010949051872321
1653675601,2.1687451609298485,-0.03010949051872321
1653675601,2.1698492282830224,-0.028202172345530775
1653675602,2.1691567204571407,-0.030291871030587558
1653675602,2.1691567204571407,-0.030291871030587558
1653675602,2.1691567204571407,-0.030291871030587558
1653675602,2.1692666517445223,-0.028012425093472248
1653675603,2.169102865669088,-0.03027175687863128
1653675603,2.169102865669088,-0.03027175687863128
1653675603,2.169102865669088,-0.03027175687863128
1653675603,2.1703371593826466,-0.030749021913395787
1653675604,2.1713232620708243,-0.028799918204719593
1653675604,2.1713232620708243,-0.028799918204719593
1653675604,2.1713232620708243,-0.028799918204719593
1653675604,2.170682602426499,-0.028568490600831158
1653675605,2.1705748928503916,-0.02852826229691845
1653675605,2.1705748928503916,-0.02852826229691845
1653675605,2.1705748928503916,-0.02852826229691845
